saldo_cuenta(millones),duracion_prestamo_meses,historial_crediticio,proposito,monto(millones),saldo_ahorros(millones),antiguedad_empleo,tasa_cuotas,estado_personal,otros_deudores,historial_residencia,propiedad,edad,plan_cuotas,vivienda,creditos_existentes,trabajo,dependientes,telefono,trabajador_extranjero,incumplimiento
desconocido,12,pagado,educación,1393,< 1M,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,47,banco,propia,3,empleado calificado,2,sí,sí,0
desconocido,24,pagado,radio/televisión,1376,10M - 100M,4 - 7 años,4,mujer,ninguno,1,otro,28,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,60,retrasado,radio/televisión,15653,< 1M,4 - 7 años,2,hombre soltero,ninguno,4,otro,21,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,12,pagado,radio/televisión,1493,< 1M,0 - 1 año,4,mujer,ninguno,3,otro,34,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
< 1M,42,retrasado,radio/televisión,4370,< 1M,4 - 7 años,3,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,26,banco,propia,2,empleado calificado,2,sí,sí,1
< 1M,18,pagado,educación,750,< 1M,desempleado,4,mujer,ninguno,1,bienes raíces,27,ninguno,propia,1,desempleado no residente,1,ninguno,sí,1
1M - 10M,15,pagado,reparaciones,1308,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,38,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,15,pagado,educación,4623,1M - 10M,1 - 4 años,3,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,40,ninguno,propia,1,autónomo gerente,1,sí,sí,1
desconocido,24,crítico,radio/televisión,1851,< 1M,4 - 7 años,4,hombre casado,aval,2,otro,33,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,18,crítico,radio/televisión,1880,< 1M,4 - 7 años,4,hombre casado,ninguno,1,sociedad de ahorros y préstamos,32,ninguno,propia,2,autónomo gerente,1,sí,sí,0
desconocido,36,retrasado,negocios,7980,desconocido,0 - 1 año,4,hombre soltero,ninguno,4,otro,27,ninguno,alquilada,2,empleado calificado,1,sí,sí,1
< 1M,30,totalmente pagado,muebles,4583,< 1M,1 - 4 años,2,hombre divorciado,aval,2,bienes raíces,32,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,12,pagado,coche (nuevo),1386,10M - 100M,1 - 4 años,2,mujer,ninguno,2,sociedad de ahorros y préstamos,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
> 10M,24,pagado,coche (nuevo),947,< 1M,4 - 7 años,4,hombre soltero,ninguno,3,desconocido/nada,38,banco,gratuita,1,empleado calificado,2,ninguno,sí,1
< 1M,12,pagado,educación,684,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,otro,40,ninguno,alquilada,1,residente no calificado,2,ninguno,sí,1
< 1M,48,pagado,educación,7476,< 1M,4 - 7 años,4,hombre soltero,ninguno,1,desconocido/nada,50,ninguno,gratuita,1,autónomo gerente,1,sí,sí,0
1M - 10M,12,pagado,muebles,1922,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,37,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
< 1M,24,pagado,coche (nuevo),2303,< 1M,> 7 años,4,hombre soltero,co-solicitante,1,bienes raíces,45,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,36,retrasado,coche (nuevo),8086,1M - 10M,> 7 años,2,hombre soltero,ninguno,4,otro,42,ninguno,propia,4,autónomo gerente,1,sí,sí,1
desconocido,24,crítico,coche (usado),2346,< 1M,4 - 7 años,4,hombre soltero,ninguno,3,otro,35,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,14,pagado,coche (nuevo),3973,< 1M,desempleado,1,hombre soltero,ninguno,4,desconocido/nada,22,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,coche (nuevo),888,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,41,banco,propia,1,residente no calificado,2,ninguno,sí,1
desconocido,48,pagado,radio/televisión,10222,desconocido,4 - 7 años,4,hombre soltero,ninguno,3,otro,37,tiendas,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,30,totalmente pagado,negocios,4221,< 1M,1 - 4 años,2,mujer,ninguno,1,otro,28,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,18,crítico,muebles,6361,< 1M,> 7 años,2,hombre soltero,ninguno,1,desconocido/nada,41,ninguno,propia,1,empleado calificado,1,sí,sí,0
> 10M,12,pagado,radio/televisión,1297,< 1M,1 - 4 años,3,hombre casado,ninguno,4,bienes raíces,23,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,12,pagado,coche (nuevo),900,desconocido,1 - 4 años,4,hombre casado,ninguno,2,otro,23,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,21,pagado,muebles,2241,< 1M,> 7 años,4,hombre soltero,ninguno,2,bienes raíces,50,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,6,retrasado,muebles,1050,< 1M,desempleado,4,hombre soltero,ninguno,1,sociedad de ahorros y préstamos,35,tiendas,propia,2,autónomo gerente,1,sí,sí,0
> 10M,6,crítico,educación,1047,< 1M,1 - 4 años,2,mujer,ninguno,4,sociedad de ahorros y préstamos,50,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,24,crítico,otros,6314,< 1M,desempleado,4,hombre soltero,co-solicitante,2,desconocido/nada,27,banco,propia,2,autónomo gerente,1,sí,sí,0
1M - 10M,30,totalmente pagado en este banco,muebles,3496,> 100M,1 - 4 años,4,hombre soltero,ninguno,2,otro,34,tiendas,propia,1,empleado calificado,2,sí,sí,0
desconocido,48,totalmente pagado en este banco,negocios,3609,< 1M,1 - 4 años,1,mujer,ninguno,1,bienes raíces,27,tiendas,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,12,crítico,coche (nuevo),4843,< 1M,> 7 años,3,hombre soltero,co-solicitante,4,sociedad de ahorros y préstamos,43,ninguno,alquilada,2,empleado calificado,1,sí,sí,1
> 10M,30,crítico,radio/televisión,3017,< 1M,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,47,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,24,crítico,negocios,4139,1M - 10M,1 - 4 años,3,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,27,ninguno,propia,2,residente no calificado,1,sí,sí,0
desconocido,36,pagado,negocios,5742,1M - 10M,4 - 7 años,2,hombre soltero,ninguno,2,otro,31,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,60,pagado,coche (nuevo),10366,< 1M,> 7 años,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,42,ninguno,propia,1,autónomo gerente,1,sí,sí,0
desconocido,6,crítico,coche (nuevo),2080,10M - 100M,1 - 4 años,1,hombre casado,ninguno,2,otro,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,21,retrasado,negocios,2580,10M - 100M,0 - 1 año,4,hombre soltero,ninguno,2,bienes raíces,41,banco,propia,1,residente no calificado,2,ninguno,sí,1
desconocido,30,crítico,radio/televisión,4530,< 1M,4 - 7 años,4,mujer,ninguno,4,otro,26,ninguno,alquilada,1,autónomo gerente,1,sí,sí,0
desconocido,24,crítico,muebles,5150,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,33,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,72,pagado,radio/televisión,5595,1M - 10M,1 - 4 años,2,hombre casado,ninguno,2,otro,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,24,pagado,radio/televisión,2384,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,64,banco,alquilada,1,residente no calificado,1,ninguno,sí,0
desconocido,18,pagado,radio/televisión,1453,< 1M,0 - 1 año,3,mujer,ninguno,1,bienes raíces,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,6,pagado,educación,1538,< 1M,0 - 1 año,1,mujer,ninguno,2,desconocido/nada,56,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,12,pagado,radio/televisión,2279,desconocido,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,37,ninguno,gratuita,1,empleado calificado,1,sí,sí,0
desconocido,15,retrasado,radio/televisión,1478,< 1M,1 - 4 años,4,hombre casado,ninguno,3,bienes raíces,33,banco,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,24,crítico,radio/televisión,5103,< 1M,0 - 1 año,3,hombre casado,ninguno,3,desconocido/nada,47,ninguno,gratuita,3,empleado calificado,1,sí,sí,0
1M - 10M,36,retrasado,negocios,9857,1M - 10M,4 - 7 años,1,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,31,ninguno,propia,2,residente no calificado,2,sí,sí,0
desconocido,60,pagado,coche (nuevo),6527,desconocido,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,34,ninguno,gratuita,1,empleado calificado,2,sí,sí,0
> 10M,10,crítico,radio/televisión,1347,desconocido,4 - 7 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,27,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,36,retrasado,coche (nuevo),2862,1M - 10M,> 7 años,4,hombre soltero,ninguno,3,desconocido/nada,30,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,0
desconocido,9,pagado,radio/televisión,2753,1M - 10M,> 7 años,3,hombre soltero,co-solicitante,4,otro,35,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,12,pagado,coche (nuevo),3651,> 100M,1 - 4 años,1,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,31,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
< 1M,15,crítico,muebles,975,< 1M,1 - 4 años,2,hombre divorciado,ninguno,3,sociedad de ahorros y préstamos,25,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,15,pagado,reparaciones,2631,1M - 10M,1 - 4 años,3,mujer,ninguno,2,bienes raíces,25,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,24,pagado,radio/televisión,2896,1M - 10M,0 - 1 año,2,hombre soltero,ninguno,1,otro,29,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,6,crítico,coche (nuevo),4716,desconocido,0 - 1 año,1,hombre soltero,ninguno,3,bienes raíces,44,ninguno,propia,2,residente no calificado,2,ninguno,sí,0
desconocido,24,pagado,radio/televisión,2284,< 1M,4 - 7 años,4,hombre soltero,ninguno,2,otro,28,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,6,pagado,coche (usado),1236,10M - 100M,1 - 4 años,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,50,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,radio/televisión,1103,< 1M,4 - 7 años,4,hombre soltero,aval,3,bienes raíces,29,ninguno,propia,2,empleado calificado,1,ninguno,no,0
desconocido,12,crítico,coche (nuevo),926,< 1M,desempleado,1,mujer,ninguno,2,sociedad de ahorros y préstamos,38,ninguno,propia,1,desempleado no residente,1,ninguno,sí,0
desconocido,18,crítico,radio/televisión,1800,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,otro,24,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
> 10M,15,pagado,educación,1905,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,40,ninguno,alquilada,1,autónomo gerente,1,sí,sí,0
desconocido,12,pagado,muebles,1123,10M - 100M,1 - 4 años,4,mujer,ninguno,4,otro,29,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,1
< 1M,48,crítico,coche (usado),6331,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,46,ninguno,gratuita,2,empleado calificado,1,sí,sí,1
> 10M,24,pagado,radio/televisión,1377,1M - 10M,> 7 años,4,mujer,ninguno,2,desconocido/nada,47,ninguno,gratuita,1,empleado calificado,1,sí,sí,0
1M - 10M,30,retrasado,negocios,2503,1M - 10M,> 7 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,41,tiendas,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,27,pagado,negocios,2528,< 1M,0 - 1 año,4,mujer,ninguno,1,sociedad de ahorros y préstamos,32,ninguno,propia,1,empleado calificado,2,sí,sí,0
desconocido,15,pagado,coche (nuevo),5324,10M - 100M,> 7 años,1,mujer,ninguno,4,desconocido/nada,35,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,0
1M - 10M,48,pagado,coche (nuevo),6560,1M - 10M,4 - 7 años,3,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,12,totalmente pagado,muebles,2969,< 1M,0 - 1 año,4,mujer,ninguno,3,sociedad de ahorros y préstamos,25,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,1
1M - 10M,9,pagado,radio/televisión,1206,< 1M,> 7 años,4,mujer,ninguno,4,bienes raíces,25,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,9,pagado,radio/televisión,2118,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,37,ninguno,propia,1,residente no calificado,2,ninguno,sí,0
desconocido,18,crítico,radio/televisión,629,10M - 100M,> 7 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,32,banco,propia,2,autónomo gerente,1,sí,sí,0
< 1M,6,totalmente pagado en este banco,educación,1198,< 1M,> 7 años,4,mujer,ninguno,4,desconocido/nada,35,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,1
desconocido,21,pagado,coche (usado),2476,desconocido,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,46,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,9,crítico,radio/televisión,1138,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,bienes raíces,25,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
1M - 10M,60,pagado,coche (nuevo),14027,< 1M,4 - 7 años,4,hombre soltero,ninguno,2,desconocido/nada,27,ninguno,propia,1,autónomo gerente,1,sí,sí,1
desconocido,30,crítico,coche (usado),7596,desconocido,> 7 años,1,hombre soltero,ninguno,4,otro,63,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,30,crítico,radio/televisión,3077,desconocido,> 7 años,3,hombre soltero,ninguno,2,otro,40,ninguno,propia,2,empleado calificado,2,sí,sí,0
desconocido,18,pagado,radio/televisión,1505,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,desconocido/nada,32,ninguno,gratuita,1,autónomo gerente,1,sí,sí,0
> 10M,24,crítico,radio/televisión,3148,desconocido,1 - 4 años,3,hombre soltero,ninguno,2,otro,31,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,20,totalmente pagado,coche (usado),6148,1M - 10M,> 7 años,3,hombre casado,ninguno,4,otro,31,banco,propia,2,empleado calificado,1,sí,sí,0
> 10M,9,totalmente pagado,radio/televisión,1337,< 1M,0 - 1 año,4,hombre soltero,ninguno,2,otro,34,ninguno,propia,2,autónomo gerente,1,sí,sí,1
1M - 10M,6,totalmente pagado en este banco,educación,433,> 100M,0 - 1 año,4,mujer,ninguno,2,sociedad de ahorros y préstamos,24,banco,alquilada,1,empleado calificado,2,ninguno,sí,1
< 1M,12,pagado,coche (nuevo),1228,< 1M,1 - 4 años,4,mujer,ninguno,2,bienes raíces,24,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
1M - 10M,9,pagado,radio/televisión,790,10M - 100M,1 - 4 años,4,mujer,ninguno,3,bienes raíces,66,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,27,pagado,coche (nuevo),2570,< 1M,1 - 4 años,3,mujer,ninguno,3,bienes raíces,21,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,6,crítico,coche (nuevo),250,> 100M,1 - 4 años,2,mujer,ninguno,2,bienes raíces,41,banco,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,15,crítico,radio/televisión,1316,10M - 100M,1 - 4 años,2,hombre casado,ninguno,2,sociedad de ahorros y préstamos,47,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
< 1M,18,pagado,radio/televisión,1882,< 1M,1 - 4 años,4,mujer,ninguno,4,otro,25,banco,alquilada,2,empleado calificado,1,ninguno,sí,1
1M - 10M,48,totalmente pagado en este banco,negocios,6416,< 1M,> 7 años,4,mujer,ninguno,3,desconocido/nada,59,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
> 10M,24,crítico,negocios,1275,> 100M,1 - 4 años,2,hombre divorciado,ninguno,4,bienes raíces,36,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,24,retrasado,radio/televisión,6403,< 1M,0 - 1 año,1,hombre soltero,ninguno,2,otro,33,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,24,pagado,radio/televisión,1987,< 1M,1 - 4 años,2,hombre soltero,ninguno,4,bienes raíces,21,ninguno,alquilada,1,residente no calificado,2,ninguno,sí,1
1M - 10M,8,pagado,radio/televisión,760,< 1M,4 - 7 años,4,mujer,aval,2,bienes raíces,44,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,24,pagado,coche (usado),2603,> 100M,1 - 4 años,2,mujer,ninguno,4,otro,28,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
desconocido,4,crítico,coche (nuevo),3380,< 1M,4 - 7 años,1,mujer,ninguno,1,bienes raíces,37,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
1M - 10M,36,totalmente pagado en este banco,electrodomésticos domésticos,3990,desconocido,0 - 1 año,3,mujer,ninguno,2,desconocido/nada,29,banco,propia,1,desempleado no residente,1,ninguno,sí,0
1M - 10M,24,pagado,coche (usado),11560,< 1M,1 - 4 años,1,mujer,ninguno,4,otro,23,ninguno,alquilada,2,autónomo gerente,1,ninguno,sí,1
< 1M,18,pagado,coche (nuevo),4380,1M - 10M,1 - 4 años,3,hombre soltero,ninguno,4,otro,35,ninguno,propia,1,residente no calificado,2,sí,sí,0
desconocido,6,crítico,coche (nuevo),6761,< 1M,4 - 7 años,1,hombre soltero,ninguno,3,desconocido/nada,45,ninguno,propia,2,autónomo gerente,2,sí,sí,0
1M - 10M,30,totalmente pagado,negocios,4280,1M - 10M,1 - 4 años,4,mujer,ninguno,4,otro,26,ninguno,alquilada,2,residente no calificado,1,ninguno,sí,1
< 1M,24,totalmente pagado en este banco,coche (nuevo),2325,1M - 10M,4 - 7 años,2,hombre soltero,ninguno,3,otro,32,banco,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,10,totalmente pagado en este banco,radio/televisión,1048,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,bienes raíces,23,tiendas,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,21,pagado,radio/televisión,3160,desconocido,> 7 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,41,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,24,totalmente pagado en este banco,muebles,2483,10M - 100M,1 - 4 años,4,hombre soltero,ninguno,4,bienes raíces,22,tiendas,propia,1,empleado calificado,1,sí,sí,0
< 1M,39,crítico,muebles,14179,desconocido,4 - 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,30,ninguno,propia,2,autónomo gerente,1,sí,sí,0
< 1M,13,crítico,negocios,1797,< 1M,0 - 1 año,3,hombre soltero,ninguno,1,sociedad de ahorros y préstamos,28,banco,propia,2,residente no calificado,1,ninguno,sí,0
< 1M,15,pagado,coche (nuevo),2511,< 1M,desempleado,1,mujer,ninguno,4,otro,23,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,12,pagado,coche (nuevo),1274,< 1M,0 - 1 año,3,mujer,ninguno,1,bienes raíces,37,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
desconocido,21,pagado,coche (usado),5248,desconocido,1 - 4 años,1,hombre soltero,ninguno,3,otro,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,15,pagado,coche (usado),3029,< 1M,4 - 7 años,2,hombre soltero,ninguno,2,otro,33,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,6,pagado,muebles,428,< 1M,> 7 años,2,mujer,ninguno,1,sociedad de ahorros y préstamos,49,banco,propia,1,empleado calificado,1,sí,sí,0
< 1M,18,pagado,coche (nuevo),976,< 1M,0 - 1 año,1,mujer,ninguno,2,otro,23,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
1M - 10M,12,pagado,negocios,841,1M - 10M,4 - 7 años,2,mujer,ninguno,4,bienes raíces,23,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
desconocido,30,crítico,radio/televisión,5771,< 1M,4 - 7 años,4,mujer,ninguno,2,otro,25,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,12,retrasado,reparaciones,1555,> 100M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,55,ninguno,gratuita,2,empleado calificado,2,ninguno,sí,1
< 1M,24,pagado,coche (nuevo),1285,desconocido,4 - 7 años,4,mujer,ninguno,4,desconocido/nada,32,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
> 10M,6,crítico,coche (nuevo),1299,< 1M,1 - 4 años,1,hombre soltero,ninguno,1,bienes raíces,74,ninguno,propia,3,desempleado no residente,2,ninguno,no,0
> 10M,15,crítico,radio/televisión,1271,desconocido,1 - 4 años,3,hombre soltero,ninguno,4,desconocido/nada,39,ninguno,gratuita,2,empleado calificado,1,sí,sí,1
desconocido,24,pagado,coche (nuevo),1393,< 1M,1 - 4 años,2,hombre soltero,aval,2,bienes raíces,31,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,12,crítico,coche (nuevo),691,< 1M,> 7 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,35,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,15,crítico,coche (nuevo),5045,desconocido,> 7 años,1,mujer,ninguno,4,otro,59,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,18,crítico,muebles,2124,< 1M,1 - 4 años,4,mujer,ninguno,4,bienes raíces,24,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,1
< 1M,12,pagado,radio/televisión,2214,< 1M,1 - 4 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,24,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,21,crítico,coche (nuevo),12680,desconocido,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,30,ninguno,gratuita,1,autónomo gerente,1,sí,sí,1
desconocido,24,crítico,coche (nuevo),2463,1M - 10M,4 - 7 años,4,hombre casado,ninguno,3,sociedad de ahorros y préstamos,27,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,12,pagado,radio/televisión,1155,< 1M,> 7 años,3,hombre casado,aval,3,bienes raíces,40,banco,propia,2,residente no calificado,1,ninguno,sí,0
< 1M,30,pagado,muebles,3108,< 1M,0 - 1 año,2,hombre divorciado,ninguno,4,sociedad de ahorros y préstamos,31,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
desconocido,10,pagado,coche (usado),2901,desconocido,0 - 1 año,1,mujer,ninguno,4,bienes raíces,31,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
1M - 10M,12,crítico,muebles,3617,< 1M,> 7 años,1,hombre soltero,ninguno,4,otro,28,ninguno,alquilada,3,empleado calificado,1,sí,sí,0
desconocido,12,crítico,radio/televisión,1655,< 1M,> 7 años,2,hombre soltero,ninguno,4,bienes raíces,63,ninguno,propia,2,residente no calificado,1,sí,sí,0
< 1M,24,pagado,coche (usado),2812,desconocido,> 7 años,2,mujer,ninguno,4,bienes raíces,26,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,36,crítico,educación,8065,< 1M,1 - 4 años,3,mujer,ninguno,2,desconocido/nada,25,ninguno,propia,2,autónomo gerente,1,sí,sí,1
desconocido,21,crítico,coche (usado),3275,< 1M,> 7 años,1,hombre soltero,ninguno,4,otro,36,ninguno,propia,1,autónomo gerente,1,sí,sí,0
desconocido,24,crítico,radio/televisión,2223,1M - 10M,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,52,banco,propia,2,empleado calificado,1,ninguno,sí,0
> 10M,12,crítico,coche (nuevo),1480,10M - 100M,desempleado,2,hombre soltero,ninguno,4,desconocido/nada,66,banco,gratuita,3,desempleado no residente,1,ninguno,sí,0
< 1M,24,pagado,coche (nuevo),1371,desconocido,1 - 4 años,4,mujer,ninguno,4,bienes raíces,25,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,36,crítico,coche (nuevo),3535,< 1M,4 - 7 años,4,hombre soltero,ninguno,4,otro,37,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,18,pagado,radio/televisión,3509,< 1M,4 - 7 años,4,mujer,aval,1,bienes raíces,25,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,36,crítico,coche (usado),5711,> 100M,> 7 años,4,hombre soltero,ninguno,2,otro,38,ninguno,propia,2,autónomo gerente,1,sí,sí,0
1M - 10M,18,pagado,reparaciones,3872,< 1M,desempleado,2,mujer,ninguno,4,otro,67,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,39,crítico,radio/televisión,4933,< 1M,4 - 7 años,2,hombre soltero,aval,2,bienes raíces,25,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,24,crítico,coche (nuevo),1940,> 100M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,60,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,12,totalmente pagado,reentrenamiento,1410,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,31,ninguno,propia,1,residente no calificado,1,sí,sí,0
1M - 10M,12,pagado,coche (nuevo),836,1M - 10M,0 - 1 año,4,mujer,ninguno,2,sociedad de ahorros y préstamos,23,banco,propia,1,residente no calificado,1,ninguno,sí,1
1M - 10M,20,pagado,coche (usado),6468,desconocido,desempleado,1,hombre divorciado,ninguno,4,bienes raíces,60,ninguno,propia,1,autónomo gerente,1,sí,sí,0
1M - 10M,18,pagado,negocios,1941,> 100M,1 - 4 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,35,ninguno,propia,1,residente no calificado,1,sí,sí,0
desconocido,22,pagado,radio/televisión,2675,10M - 100M,> 7 años,3,hombre soltero,ninguno,4,otro,40,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,48,crítico,coche (usado),2751,desconocido,> 7 años,4,hombre soltero,ninguno,3,otro,38,ninguno,propia,2,empleado calificado,2,sí,sí,0
1M - 10M,48,retrasado,educación,6224,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,50,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,1
< 1M,40,crítico,educación,5998,< 1M,1 - 4 años,4,hombre soltero,ninguno,3,desconocido/nada,27,banco,propia,1,empleado calificado,1,sí,sí,1
1M - 10M,21,pagado,negocios,1188,< 1M,> 7 años,2,mujer,ninguno,4,sociedad de ahorros y préstamos,39,ninguno,propia,1,empleado calificado,2,ninguno,sí,1
desconocido,24,pagado,coche (usado),6313,desconocido,> 7 años,3,hombre soltero,ninguno,4,otro,41,ninguno,propia,1,autónomo gerente,2,sí,sí,0
desconocido,6,crítico,muebles,1221,desconocido,1 - 4 años,1,hombre casado,ninguno,2,sociedad de ahorros y préstamos,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
